ZipCode,City,MixedCity,StateCode,County,MixedCounty,Latitude,Longitude
28728,ENKA,Enka,NC,BUNCOMBE,Buncombe,35.4572,-82.7746
28729,ETOWAH,Etowah,NC,HENDERSON,Henderson,35.31871,-82.600841
28730,FAIRVIEW,Fairview,NC,BUNCOMBE,Buncombe,35.527078,-82.377088
28731,FLAT ROCK,Flat Rock,NC,HENDERSON,Henderson,35.287628,-82.388665
28732,FLETCHER,Fletcher,NC,HENDERSON,Henderson,35.45761,-82.482468
28733,FONTANA DAM,Fontana Dam,NC,GRAHAM,Graham,35.433268,-83.814008
28734,FRANKLIN,Franklin,NC,MACON,Macon,35.163665,-83.433889
28735,GERTON,Gerton,NC,HENDERSON,Henderson,35.480696,-82.353628
28736,GLENVILLE,Glenville,NC,JACKSON,Jackson,35.173643,-83.097069
28737,GLENWOOD,Glenwood,NC,MCDOWELL,Mcdowell,35.6145,-81.9824
28738,HAZELWOOD,Hazelwood,NC,HAYWOOD,Haywood,35.4785,-83.004
28739,HENDERSONVILLE,Hendersonville,NC,HENDERSON,Henderson,35.252604,-82.533283
28740,GREEN MOUNTAIN,Green Mountain,NC,YANCEY,Yancey,36.018059,-82.268152
28741,HIGHLANDS,Highlands,NC,MACON,Macon,35.075484,-83.202772
28742,HORSE SHOE,Horse Shoe,NC,HENDERSON,Henderson,35.382408,-82.64102
28743,HOT SPRINGS,Hot Springs,NC,MADISON,Madison,35.815431,-82.854804
28744,FRANKLIN,Franklin,NC,MACON,Macon,35.1824,-83.3777
28745,LAKE JUNALUSKA,Lake Junaluska,NC,HAYWOOD,Haywood,35.525165,-82.973064
28746,LAKE LURE,Lake Lure,NC,RUTHERFORD,Rutherford,35.460404,-82.178756
28747,LAKE TOXAWAY,Lake Toxaway,NC,TRANSYLVANIA,Transylvania,35.132249,-82.927304
28748,LEICESTER,Leicester,NC,BUNCOMBE,Buncombe,35.651255,-82.765954
28749,LITTLE SWITZERLAND,Little Switzerland,NC,MCDOWELL,Mcdowell,35.848319,-82.077401
28750,LYNN,Lynn,NC,POLK,Polk,35.2284,-82.2333
